[INFO] [1776322621.510954734] [robot_controller]: Поток клавиатуры запущен.
[INFO] [1776322643.452666309] [robot_controller]: Режим: ДВИЖЕНИЕ ВДОЛЬ СТЕНЫ
[INFO] [1776322643.499711465] [robot_controller]: 🔍 Ищу стену слева... left=3.55
[INFO] [1776322644.048886904] [robot_controller]: 🔍 Ищу стену слева... left=4.27
[INFO] [1776322644.598891744] [robot_controller]: 🔍 Ищу стену слева... left=4.29
[INFO] [1776322645.101732586] [robot_controller]: 🔍 Ищу стену слева... left=3.01
[INFO] [1776322645.650672796] [robot_controller]: 🔍 Ищу стену слева... left=2.98
[INFO] [1776322646.198594558] [robot_controller]: 🔍 Ищу стену слева... left=3.02
[INFO] [1776322646.698608579] [robot_controller]: 🔍 Ищу стену слева... left=2.58
[INFO] [1776322647.200746987] [robot_controller]: 🔍 Ищу стену слева... left=1.67
[INFO] [1776322647.748520128] [robot_controller]: 🔍 Ищу стену слева... left=1.67
[INFO] [1776322648.252416632] [robot_controller]: → Подъезжаю... left=1.26 front=2.54
[INFO] [1776322648.804740800] [robot_controller]: → Подъезжаю... left=1.20 front=2.54
[INFO] [1776322649.348586762] [robot_controller]: → Подъезжаю... left=1.72 front=2.54
[INFO] [1776322649.848893615] [robot_controller]: → Подъезжаю... left=2.45 front=2.52
[INFO] [1776322650.350525529] [robot_controller]: → Подъезжаю... left=2.43 front=2.48
[INFO] [1776322650.899061618] [robot_controller]: → Подъезжаю... left=2.42 front=1.65
[INFO] [1776322651.448899518] [robot_controller]: → Подъезжаю... left=2.40 front=1.58
[INFO] [1776322651.948936087] [robot_controller]: → Подъезжаю... left=1.85 front=1.44
[INFO] [1776322652.498617950] [robot_controller]: → Подъезжаю... left=1.81 front=1.34
[INFO] [1776322653.048626919] [robot_controller]: → Подъезжаю... left=1.77 front=1.28
[INFO] [1776322653.600811053] [robot_controller]: → Подъезжаю... left=2.98 front=1.16
[INFO] [1776322654.148817409] [robot_controller]: → Подъезжаю... left=2.96 front=1.13
[INFO] [1776322654.652713054] [robot_controller]: → Подъезжаю... left=2.93 front=1.10
[INFO] [1776322655.198862783] [robot_controller]: → Подъезжаю... left=2.92 front=1.06
[INFO] [1776322655.748601390] [robot_controller]: → Подъезжаю... left=2.39 front=1.03
[INFO] [1776322656.250339382] [robot_controller]: → Подъезжаю... left=2.34 front=1.03
[INFO] [1776322656.798925358] [robot_controller]: → Подъезжаю... left=2.30 front=0.99
[INFO] [1776322657.304865896] [robot_controller]: → Подъезжаю... left=2.28 front=0.97
[INFO] [1776322657.848583083] [robot_controller]: → Подъезжаю... left=2.27 front=0.95
[INFO] [1776322658.398578453] [robot_controller]: → Подъезжаю... left=2.27 front=0.93
[INFO] [1776322658.900722920] [robot_controller]: → Подъезжаю... left=3.53 front=0.92
[INFO] [1776322659.448521682] [robot_controller]: → Подъезжаю... left=3.54 front=0.87
[INFO] [1776322659.948963040] [robot_controller]: → Подъезжаю... left=3.06 front=0.88
[INFO] [1776322660.498583480] [robot_controller]: → Подъезжаю... left=3.02 front=0.84
[INFO] [1776322661.048598377] [robot_controller]: → Подъезжаю... left=2.98 front=0.83
[INFO] [1776322661.548974140] [robot_controller]: → Подъезжаю... left=2.78 front=0.79
[INFO] [1776322662.098689736] [robot_controller]: → Подъезжаю... left=2.71 front=0.78
[INFO] [1776322662.598795800] [robot_controller]: → Подъезжаю... left=2.69 front=0.77
[INFO] [1776322663.148701915] [robot_controller]: → Подъезжаю... left=2.66 front=0.80
[INFO] [1776322663.701291728] [robot_controller]: → Подъезжаю... left=2.67 front=0.77
[INFO] [1776322664.248609103] [robot_controller]: → Подъезжаю... left=2.69 front=0.81
[INFO] [1776322664.748723239] [robot_controller]: → Подъезжаю... left=2.61 front=0.82
[INFO] [1776322665.298602649] [robot_controller]: → Подъезжаю... left=2.50 front=0.87
[INFO] [1776322665.798711703] [robot_controller]: → Подъезжаю... left=2.46 front=0.89
[INFO] [1776322666.305541714] [robot_controller]: → Подъезжаю... left=2.42 front=0.96
[INFO] [1776322666.849259565] [robot_controller]: → Подъезжаю... left=2.42 front=2.68
[INFO] [1776322667.398583064] [robot_controller]: → Подъезжаю... left=2.43 front=2.65
[INFO] [1776322667.900366229] [robot_controller]: → Подъезжаю... left=2.44 front=2.63
[INFO] [1776322668.401259178] [robot_controller]: → Подъезжаю... left=2.45 front=2.62
[INFO] [1776322668.948788196] [robot_controller]: → Подъезжаю... left=2.39 front=2.57
[INFO] [1776322669.453334078] [robot_controller]: → Подъезжаю... left=2.30 front=2.58
[INFO] [1776322669.999052336] [robot_controller]: → Подъезжаю... left=2.26 front=2.56
[INFO] [1776322670.549057500] [robot_controller]: → Подъезжаю... left=2.25 front=2.53
